"table_name","column_name","data_type","column_default","is_nullable","character_maximum_length","key_type","references_table","references_column"
"email_config","id","integer","nextval('email_config_id_seq'::regclass)","NO",,"PK",,
"email_config","tenant_id","integer",,"YES",,"FK","tenant","id"
"email_config","email_address","character varying",,"YES",255,"",,
"email_config","imap_server","character varying",,"YES",255,"",,
"email_config","imap_port","integer",,"YES",,"",,
"email_config","imap_username","character varying",,"YES",255,"",,
"email_config","imap_password","character varying",,"YES",255,"",,
"email_config","postmark_api_key","character varying",,"YES",255,"",,
"email_config","enabled","boolean",,"YES",,"",,
"email_config","created_at","timestamp without time zone",,"YES",,"",,
"email_config","last_check","timestamp without time zone",,"YES",,"",,
"subscription_payments","id","integer","nextval('subscription_payments_id_seq'::regclass)","NO",,"PK",,
"subscription_payments","tenant_id","integer",,"YES",,"FK","tenant","id"
"subscription_payments","plan","character varying",,"YES",20,"",,
"subscription_payments","amount","double precision",,"YES",,"",,
"subscription_payments","status","character varying",,"YES",20,"",,
"subscription_payments","payment_id","character varying",,"YES",100,"",,
"subscription_payments","created_at","timestamp without time zone",,"YES",,"",,
"subscription_payments","completed_at","timestamp without time zone",,"YES",,"",,
"tenant","id","integer","nextval('tenant_id_seq'::regclass)","NO",,"PK",,
"tenant","name","character varying",,"NO",100,"",,
"tenant","subscription_plan","character varying",,"YES",20,"",,
"tenant","created_at","timestamp without time zone",,"YES",,"",,
"tenant","portal_key","character varying",,"YES",36,"",,
"tenant","email_domain","character varying",,"YES",255,"",,
"tenant","support_email","character varying",,"YES",255,"",,
"tenant","support_alias","character varying",,"YES",255,"",,
"tenant","cloudmailin_address","character varying",,"YES",255,"",,
"tenant","webhook_url","character varying",,"YES",255,"",,
"tenant","webhook_events","jsonb","'[]'::jsonb","YES",,"",,
"ticket","id","integer","nextval('ticket_id_seq'::regclass)","NO",,"PK",,
"ticket","ticket_number","character varying",,"YES",20,"",,
"ticket","title","character varying",,"NO",200,"",,
"ticket","description","text",,"YES",,"",,
"ticket","status","character varying",,"YES",20,"",,
"ticket","priority","character varying",,"YES",20,"",,
"ticket","created_at","timestamp without time zone",,"YES",,"",,
"ticket","updated_at","timestamp without time zone",,"YES",,"",,
"ticket","created_by_id","integer",,"YES",,"FK","user","id"
"ticket","assigned_to_id","integer",,"YES",,"FK","user","id"
"ticket","tenant_id","integer",,"YES",,"FK","tenant","id"
"ticket","contact_name","character varying",,"YES",100,"",,
"ticket","contact_email","character varying",,"YES",100,"",,
"ticket","source","character varying",,"YES",20,"",,
"ticket_comment","id","integer","nextval('ticket_comment_id_seq'::regclass)","NO",,"PK",,
"ticket_comment","content","text",,"NO",,"",,
"ticket_comment","created_at","timestamp without time zone",,"YES",,"",,
"ticket_comment","ticket_id","integer",,"YES",,"FK","ticket","id"
"ticket_comment","user_id","integer",,"YES",,"FK","user","id"
"ticket_comment","is_internal","boolean",,"YES",,"",,
"ticket_comment","is_customer","boolean",,"YES",,"",,
"user","id","integer","nextval('user_id_seq'::regclass)","NO",,"PK",,
"user","email","character varying",,"NO",120,"",,
"user","password_hash","character varying",,"YES",256,"",,
"user","first_name","character varying",,"YES",50,"",,
"user","last_name","character varying",,"YES",50,"",,
"user","role","character varying",,"YES",20,"",,
"user","tenant_id","integer",,"YES",,"FK","tenant","id"
"user","created_at","timestamp without time zone",,"YES",,"",,
